id,time,mood,appCat.communication,appCat.other,sms,circumplex.valence,screen,appCat.entertainment,appCat.weather,appCat.social,appCat.game,appCat.office,call,appCat.builtin,appCat.finance,circumplex.arousal,activity,appCat.utilities,appCat.unknown,appCat.travel
AS14.01,2014-04-07 18:00:00,6.0,1258.772,8.164,0.0,0.0,1596.4489998817448,0.0,0.0,586.4689999999999,0.0,0.0,0.0,77.952,0.0,0.0,0.1005162241887905,0.0,0.0,0.0
AS14.01,2014-04-07 21:00:00,7.0,908.649,11.095,0.0,0.0,1212.6539998054511,52.312000000000005,0.0,125.75899999999999,0.0,0.0,0.0,8.035,0.0,-1.0,0.2787364402518935,0.0,0.0,0.0
AS14.01,2014-04-08 09:00:00,7.0,3051.9739999999997,210.781,0.0,1.0,6557.930999517436,2527.797,0.0,565.438,0.0,0.0,1.0,532.36,0.0,0.0,0.4390532918947671,74.367,0.0,0.0
AS14.01,2014-04-08 12:00:00,7.0,624.965,12.198,0.0,1.0,2616.199000120164,505.4,0.0,1292.491,0.0,0.0,0.0,150.184,0.0,0.0,0.4768623837359978,14.071,0.0,0.0
AS14.01,2014-04-08 14:00:00,7.0,1816.367,8.07,0.0,0.0,2570.8600008487697,26.108,0.0,387.709,0.0,0.0,0.0,82.339,0.0,0.0,0.11666666666666671,0.0,0.0,0.0
AS14.01,2014-04-08 18:00:00,7.0,2655.317,6.033,0.0,0.0,905.4560005664823,0.0,0.0,100.356,0.0,0.0,0.0,136.44899999999998,0.0,-1.0,0.4392655367231643,0.0,0.0,0.0
AS14.01,2014-04-08 20:00:00,5.0,345.387,13.053,0.0,-1.0,886.7600002288822,149.532,0.0,157.78900000000002,0.0,0.0,0.0,67.395,19.131,-1.0,0.09187675070028009,22.072,0.0,0.0
AS14.01,2014-04-09 09:00:00,7.0,3762.56,11.058,0.0,0.0,5745.834000587463,462.67,0.0,565.174,0.0,0.0,1.0,986.094,0.0,-1.0,0.5442648245738965,0.0,0.0,0.0
AS14.01,2014-04-09 12:00:00,8.0,1150.58,275.745,0.0,1.0,3303.468999624254,322.13800000000003,0.0,709.718,0.0,0.0,0.0,195.169,0.0,0.0,0.5337322063328261,0.0,0.0,0.0
AS14.01,2014-04-09 15:00:00,8.0,749.152,7.137,0.0,1.0,749.2760004997253,0.0,0.0,49.683,0.0,0.0,0.0,26.666,0.0,-1.0,0.894747899159664,19.348,0.0,0.0
AS14.01,2014-04-09 18:00:00,7.0,914.123,6.027,0.0,1.0,2493.0840001106276,121.589,0.0,1315.773,0.0,0.0,0.0,136.176,0.0,-1.0,0.892717086834734,0.0,0.0,0.0
AS14.01,2014-04-09 21:00:00,7.0,736.63,49.727999999999994,0.0,1.0,1176.3570008277889,0.0,0.0,223.401,0.0,0.0,4.0,184.635,0.0,-1.0,0.1504901960784314,0.0,0.0,0.0
AS14.01,2014-04-10 11:00:00,6.0,4984.4400000000005,8.017,0.0,0.0,8663.835999011997,1706.84,0.0,385.466,0.0,0.0,0.0,351.225,0.0,-2.0,0.4816195597525521,705.501,0.0,0.0
AS14.01,2014-04-10 12:00:00,7.0,468.488,78.54100000000001,0.0,1.0,1205.6490001678462,172.35899999999998,0.0,382.034,0.0,23.195,0.0,80.36,0.0,0.0,0.134453781512605,0.0,0.0,0.0
AS14.01,2014-04-10 15:00:00,8.0,1180.156,8.025,0.0,1.0,2302.928000211716,0.0,0.0,643.35,1.059,0.0,0.0,146.171,0.0,1.0,0.8872589531680439,39.35,0.0,0.0
